DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
3.1534464795926e-07,1,1,1.875,3,1,2.88888888888889
3.12601739499742e-07,1,1,1.9,3,1,2.88888888888889
3.09991528805125e-07,1,1,1.925,3,1,2.88888888888889
3.07511403849611e-07,1,1,1.95,3,1,2.88888888888889
3.05158864554396e-07,1,1,1.975,3,1,2.88888888888889
3.02931523669629e-07,1,1,2,3,1,2.88888888888889
3.00827107414582e-07,1,1,2.025,3,1,2.88888888888889
2.98843455892843e-07,1,1,2.05,3,1,2.88888888888889
2.96978523303918e-07,1,1,2.075,3,1,2.88888888888889
2.9523037797515e-07,1,1,2.1,3,1,2.88888888888889
2.93597202239002e-07,1,1,2.125,3,1,2.88888888888889
2.92077292180813e-07,1,1,2.15,3,1,2.88888888888889
2.90669057281521e-07,1,1,2.175,3,1,2.88888888888889
2.89371019978714e-07,1,1,2.2,3,1,2.88888888888889
2.88181815167923e-07,1,1,2.225,3,1,2.88888888888889
2.87100189664443e-07,1,1,2.25,3,1,2.88888888888889
2.86125001644256e-07,1,1,2.275,3,1,2.88888888888889
2.85255220080823e-07,1,1,2.3,3,1,2.88888888888889
2.84489924192812e-07,1,1,2.325,3,1,2.88888888888889
2.83828302916066e-07,1,1,2.35,3,1,2.88888888888889
2.83269654411513e-07,1,1,2.375,3,1,2.88888888888889
2.82813385619074e-07,1,1,2.4,3,1,2.88888888888889
2.82459011866167e-07,1,1,2.425,3,1,2.88888888888889
2.82206156537919e-07,1,1,2.45,3,1,2.88888888888889
2.82054550814817e-07,1,1,2.475,3,1,2.88888888888889
0.987196919235589,1,1,0,3,3,1.55555555555556
0.108212515840468,1,1,0.025,3,3,1.55555555555556
0.0729238525826421,1,1,0.05,3,3,1.55555555555556
0.0709528131060176,1,1,0.075,3,3,1.55555555555556
0.0723178684378097,1,1,0.1,3,3,1.55555555555556
0.073762565814091,1,1,0.125,3,3,1.55555555555556
0.0748829424206923,1,1,0.15,3,3,1.55555555555556
0.0756870368779329,1,1,0.175,3,3,1.55555555555556
0.0762145117865045,1,1,0.2,3,3,1.55555555555556
0.076475360370867,1,1,0.225,3,3,1.55555555555556
0.0764426879052446,1,1,0.25,3,3,1.55555555555556
0.0760523975656362,1,1,0.275,3,3,1.55555555555556
0.0752018754442867,1,1,0.3,3,3,1.55555555555556
0.0737480006760222,1,1,0.325,3,3,1.55555555555556
0.0715077491388396,1,1,0.35,3,3,1.55555555555556
0.0682675182195061,1,1,0.375,3,3,1.55555555555556
0.063810730271721,1,1,0.4,3,3,1.55555555555556
0.0579751094772423,1,1,0.425,3,3,1.55555555555556
0.0507451061037544,1,1,0.45,3,3,1.55555555555556
0.042362384301434,1,1,0.475,3,3,1.55555555555556
0.0333981489791129,1,1,0.5,3,3,1.55555555555556
0.0247057490020523,1,1,0.525,3,3,1.55555555555556
0.0172159282490473,1,1,0.55,3,3,1.55555555555556
0.0116549348061677,1,1,0.575,3,3,1.55555555555556
0.00834812642109789,1,1,0.6,3,3,1.55555555555556
0.00721100400988986,1,1,0.625,3,3,1.55555555555556
0.00788786929523358,1,1,0.65,3,3,1.55555555555556
0.0099247044986985,1,1,0.675,3,3,1.55555555555556
0.0128942187228886,1,1,0.7,3,3,1.55555555555556
0.0164545589747361,1,1,0.725,3,3,1.55555555555556
0.0203600909012135,1,1,0.75,3,3,1.55555555555556
0.0244485516617404,1,1,0.775,3,3,1.55555555555556
0.0286212567387468,1,1,0.8,3,3,1.55555555555556
0.0328245257265311,1,1,0.825,3,3,1.55555555555556
0.0370350706949531,1,1,0.85,3,3,1.55555555555556
0.0412495095814409,1,1,0.875,3,3,1.55555555555556
